strike,ltp_CE,ltp_PE,ltp_prev_CE,ltp_prev_PE,oi_CE,oi_PE,oi_change_CE,oi_change_PE,price_change_CE,price_change_PE,oi_diff
43500,,5.4,,0.0,,557.2857142857143,,64.0,,5.4,
46500,0.0,5.25,0.0,0.0,0.0,563.0,0.0,199.0,0.0,5.25,-563.0
47000,0.0,6.2,0.0,0.0,0.0,411.0,0.0,16.0,0.0,6.2,-411.0
47500,0.0,6.85,0.0,0.0,0.0,389.0,0.0,4.0,0.0,6.85,-389.0
48000,0.0,7.15,0.0,0.0,2319.0,1484.0,0.0,3.0,0.0,7.15,835.0
48500,0.0,7.35,0.0,0.0,3.0,118.0,0.0,-22.0,0.0,7.35,-115.0
49000,0.0,7.0,0.0,0.0,481.0,340.0,0.0,-45.0,0.0,7.0,141.0
49500,0.0,7.0,0.0,0.0,12.0,107.0,0.0,-5.0,0.0,7.0,-95.0
49600,0.0,7.5,0.0,0.0,0.0,57.0,0.0,41.0,0.0,7.5,-57.0
49700,0.0,7.75,0.0,0.0,1.0,21.0,0.0,0.0,0.0,7.75,-20.0
49800,0.0,7.55,0.0,0.0,1.0,24.0,0.0,-2.0,0.0,7.55,-23.0
49900,0.0,8.05,0.0,0.0,1.0,52.0,0.0,-1.0,0.0,8.05,-51.0
50000,9972.8,7.5,0.0,0.0,2194.0,6835.0,138.0,-67.0,9972.8,7.5,-4641.0
50100,0.0,8.55,0.0,0.0,1.0,91.0,0.0,22.0,0.0,8.55,-90.0
50200,0.0,8.0,0.0,0.0,1.0,22.0,0.0,7.0,0.0,8.0,-21.0
50300,0.0,8.4,0.0,0.0,1.0,19.0,0.0,4.0,0.0,8.4,-18.0
50400,0.0,7.45,0.0,0.0,1.0,16.0,0.0,1.0,0.0,7.45,-15.0
50500,0.0,8.0,0.0,0.0,19.0,444.0,0.0,1.0,0.0,8.0,-425.0
50600,0.0,8.3,0.0,0.0,1.0,10.0,0.0,0.0,0.0,8.3,-9.0
50700,0.0,8.6,0.0,0.0,1.0,21.0,0.0,-3.0,0.0,8.6,-20.0
50800,0.0,8.95,0.0,0.0,1.0,13.0,0.0,0.0,0.0,8.95,-12.0
50900,0.0,9.05,0.0,0.0,1.0,19.0,0.0,1.0,0.0,9.05,-18.0
51000,8940.0,10.0,0.0,0.0,648.4285714285714,2568.5714285714284,0.0,-45.714285714285715,8940.0,10.0,-1920.1428571428569
51100,0.0,9.3,0.0,0.0,1.0,16.0,0.0,-7.0,0.0,9.3,-15.0
51200,0.0,9.25,0.0,0.0,1.0,27.0,0.0,-5.0,0.0,9.25,-26.0
51300,0.0,8.7,0.0,0.0,1.0,22.0,0.0,0.0,0.0,8.7,-21.0
51400,0.0,10.0,0.0,0.0,1.0,83.0,0.0,9.0,0.0,10.0,-82.0
51500,0.0,9.75,0.0,0.0,21.0,445.0,0.0,137.0,0.0,9.75,-424.0
51600,0.0,9.9,0.0,0.0,1.0,18.0,0.0,-1.0,0.0,9.9,-17.0
51700,0.0,10.1,0.0,0.0,1.0,18.0,0.0,-1.0,0.0,10.1,-17.0
51800,0.0,10.5,0.0,0.0,3.0,85.0,0.0,58.0,0.0,10.5,-82.0
51900,0.0,10.2,0.0,0.0,4.0,15.0,0.0,0.0,0.0,10.2,-11.0
52000,8008.0,11.45,0.0,0.0,856.0,2264.0,-1.0,-89.0,8008.0,11.45,-1408.0
52100,0.0,11.0,0.0,0.0,1.0,29.0,0.0,3.0,0.0,11.0,-28.0
52200,0.0,11.0,0.0,0.0,1.0,16.0,0.0,-5.0,0.0,11.0,-15.0
52300,0.0,10.0,0.0,0.0,1.0,47.0,0.0,-4.0,0.0,10.0,-46.0
52400,0.0,10.85,0.0,0.0,1.0,48.0,0.0,1.0,0.0,10.85,-47.0
52500,7550.0,11.2,0.0,0.0,28.0,1142.4285714285713,0.0,-31.0,7550.0,11.2,-1114.4285714285713
52600,0.0,11.25,0.0,0.0,3.0,31.0,0.0,-1.0,0.0,11.25,-28.0
52700,0.0,11.35,0.0,0.0,1.0,28.0,0.0,-1.0,0.0,11.35,-27.0
52800,0.0,11.55,0.0,0.0,2.0,24.0,0.0,1.0,0.0,11.55,-22.0
52900,0.0,11.25,0.0,0.0,2.0,69.0,0.0,14.0,0.0,11.25,-67.0
53000,6886.35,11.9,0.0,0.0,851.0,4264.0,-2.0,-71.0,6886.35,11.9,-3413.0
53100,0.0,12.0,0.0,0.0,3.0,28.0,0.0,1.0,0.0,12.0,-25.0
53200,0.0,11.1,0.0,0.0,2.0,55.0,0.0,0.0,0.0,11.1,-53.0
53300,0.0,10.2,0.0,0.0,2.0,75.0,0.0,-4.0,0.0,10.2,-73.0
